State,District,Total Sex Ratio,Rural Sex Ration,Urban Ratio,Total Households,Rural Households,Urban Households,Total Households With Electricity Pct,Rural Households With Electricity Pct,Urban Households With Electricity Pct,Total Households With Landline Conn Pct,Rural Households With Landline Conn Pct,Urban Households With Landline Conn Pct,Total Households With Mobile Conn Pct,Rural Households With Mobile Conn Pct,Urban Households With Mobile Conn Pct,Total Households With Internet Pct,Rural Households With Internet Pct,Urban Households With Internet Pct
Chhattisgarh,Raipur,984.0,1003.0,953.0,861067.0,561916.0,299151.0,84.61083748419112,78.65303710874934,95.80178572025498,2.18,1.14,4.15,34.33,23.58,54.54,2.35,0.32,6.17
Chhattisgarh,Rajnandgaon,1015.0,1019.0,994.0,315535.0,256900.0,58635.0,87.31234252935491,85.6041261191125,94.7966231772832,2.31,2.12,3.15,27.71,22.93,48.65,0.67,0.22,2.65
Chhattisgarh,Sukma,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Surajpur,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Surguja,978.0,982.0,940.0,520566.0,472991.0,47575.0,48.62611081015664,44.27230116429276,91.911718339464,0.83,0.61,3.05,20.86,16.86,60.62,0.53,0.16,4.15
Chhattisgarh,Balrampur,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Bastar,1023.0,1031.0,978.0,306807.0,265210.0,41597.0,51.38279113579547,45.7599638022699,87.23225232588888,0.84,0.57,2.57,16.91,11.4,52.08,0.58,0.17,3.2
Chhattisgarh,Bemetara,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Bijapur,984.0,991.0,932.0,50402.0,44544.0,5858.0,24.83234792270148,19.423491379310345,65.96107886650734,1.02,0.91,1.84,7.9,3.71,40.42,0.23,0.12,1.09
Chhattisgarh,Bilaspur,971.0,979.0,948.0,615895.0,475742.0,140153.0,84.38191574862599,81.29427294626079,94.86275712970826,1.53,0.91,3.61,25.51,16.92,54.65,1.39,0.24,5.28
